CodeReg;Année;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
84;Auvergne-Rhône-Alpes;18093;18555;18915;18835;19328;20164;20783;21612;22584;23018;24100;24809;25148;25600;26931;27565;28888;29853;30267;29049;29603;30706;30719;30873;31121;31639
27;Bourgogne-Franche-Comté;16159;16586;17011;16903;17418;18168;18582;19098;20017;20448;21613;22215;22669;23010;23939;24211;24998;26127;25984;24947;24905;25773;25379;25497;25922;26218
53;Bretagne;14893;15447;16094;16307;17003;17533;17929;18684;19531;20017;21305;21974;22416;22983;24362;25143;26081;26758;26199;25236;25339;26340;26539;26834;27290;27838
24;Centre-Val de Loire;16905;17409;17925;17938;18415;19066;19367;19675;20577;21079;21954;22712;23160;23619;24514;24916;25807;26785;26084;25426;25736;26494;26581;26707;26816;27274
94;Corse;14225;14800;15313;15186;15382;15321;15422;16402;17303;18109;18495;19327;19562;20134;20804;21685;22839;23393;24483;24985;25389;26162;26229;26352;26376;26954
44;Grand Est;16838;17299;17937;18048;18549;19313;19675;20029;21061;21345;22381;22866;23292;23668;24729;25010;25846;26946;26827;25854;25808;26829;26535;26838;27105;27378
32;Hauts-de-France;14793;15219;15729;15779;16246;16850;17297;17544;18484;18814;19576;20144;20761;21353;22019;22612;23552;24609;24896;24075;24340;25177;25166;25429;25548;26095
11;Île-de-France;28072;28937;29827;30220;31062;31377;32272;33367;34474;36480;38111;39102;40271;40776;41869;43316;44691;47617;50994;48849;51608;51850;52788;53731;54157;55227
28;Normandie;16235;16797;17372;17430;18031;18524;18782;19167;19866;20436;21533;21994;22528;23180;24093;24572;25451;26535;26195;25249;25824;26696;26746;26990;26990;27465
75;Nouvelle-Aquitaine;15523;16039;16574;16675;17269;17880;18352;19065;19930;19972;21108;22063;22784;23188;23853;24497;25518;26411;25843;25371;25728;26681;26899;26947;27290;27657
76;Occitanie;15133;15620;16063;16151;16610;17212;17555;18185;18821;19382;20045;21080;21590;22162;22985;23771;25075;25541;25796;25349;25278;26170;26481;26620;27001;27449
52;Pays de la Loire;15510;16115;16747;16868;17465;18266;18811;19139;20128;20771;22109;23061;23639;24200;24929;25567;26375;27449;27877;26834;26966;28195;28307;28554;28880;29424
93;Provence-Alpes-Côte d'Azur;17021;17807;18467;18470;18971;19417;19733;20088;20886;21394;22513;23495;23953;24615;25791;26735;27845;28535;28512;28049;29161;29687;30408;30256;30438;30864
##;Province;16167;16687;17216;17263;17788;18438;18860;19373;20254;20667;21693;22442;22944;23455;24421;25028;26056;26965;26945;26136;26454;27380;27485;27645;27907;28358
##;Métropole;18407;18992;19590;19701;20285;20870;21377;21995;22915;23627;24768;25563;26192;26704;27695;28462;29555;30841;31459;30401;31180;31976;32236;32544;32839;33409
1;Guadeloupe;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;12264;12954;13388;14542;15069;15894;16823;17888;18799;18584;19434;19782;19923;19861;20399;21201
2;Martinique;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;14715;15644;16028;16865;17892;18780;19730;20519;20508;20196;21351;21819;22215;22710;23222;23900
3;Guyane;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;11590;12759;13486;12965;12993;13591;14684;14421;14511;14888;15053;15375;16290;15704;15765;15853
##;Réunion;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;13187;13939;14584;15236;15992;16882;17751;18705;19246;18603;18775;19159;20445;20198;20707;21090
6;Mayotte;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;n.d;3928;4077;4155;4554;5026;5464;6112;6390;7266;7058;7403;7534;8365;8034;8552;8661
##;DOM;9731;9721;9878;10154;10291;10718;10983;11343;11760;12253;12413;13155;13638;14275;14918;15699;16573;17296;17755;17385;17862;18187;18945;18783;19201;19591
##;France entière (=Métropole+Dom) ;18181;18748;19330;19443;20011;20587;21083;21689;22591;23292;24400;25191;25812;26324;27302;28067;29151;30417;31028;29990;30758;31539;31814;32106;32404;32967
